Model,Architecture,Device,Time_seconds
TVAE,"(32, 16)",CPU,0.0284
TVAE,"(32, 16)",CPU,0.028
TVAE,"(32, 16)",CPU,0.0281
TVAE,"(32, 16)",CPU,0.028
TVAE,"(32, 16)",CPU,0.028
TVAE,"(32, 16)",CPU,0.0282
TVAE,"(32, 16)",CPU,0.0285
TVAE,"(32, 16)",CPU,0.0289
TVAE,"(32, 16)",CPU,0.0295
TVAE,"(32, 16)",CPU,0.0296
TVAE,"(32, 16)",CPU,0.0304
TVAE,"(32, 16)",CPU,0.0292
TVAE,"(32, 16)",CPU,0.0291
TVAE,"(32, 16)",CPU,0.0295
TVAE,"(32, 16)",CPU,0.0283
TVAE,"(32, 16)",CPU,0.0284
TVAE,"(32, 16)",CPU,0.0283
TVAE,"(32, 16)",CPU,0.0281
TVAE,"(32, 16)",CPU,0.0281
TVAE,"(32, 16)",CPU,0.0284
TVAE,"(32, 16)",CPU,0.0285
TVAE,"(32, 16)",CPU,0.0303
TVAE,"(32, 16)",CPU,0.0465
TVAE,"(32, 16)",CPU,0.0385
TVAE,"(32, 16)",CPU,0.0298
TVAE,"(32, 16)",CPU,0.0301
TVAE,"(32, 16)",CPU,0.0284
TVAE,"(32, 16)",CPU,0.0284
TVAE,"(32, 16)",CPU,0.0286
TVAE,"(32, 16)",CPU,0.0292
TVAE,"(32, 16)",CPU,0.0285
TVAE,"(32, 16)",CPU,0.028
TVAE,"(32, 16)",CPU,0.0285
TVAE,"(32, 16)",CPU,0.0286
TVAE,"(32, 16)",CPU,0.0285
TVAE,"(32, 16)",CPU,0.0288
TVAE,"(32, 16)",CPU,0.0296
TVAE,"(32, 16)",CPU,0.0299
TVAE,"(32, 16)",CPU,0.0308
TVAE,"(32, 16)",CPU,0.0295
TVAE,"(32, 16)",CPU,0.0291
TVAE,"(32, 16)",CPU,0.0304
TVAE,"(32, 16)",CPU,0.0297
TVAE,"(32, 16)",CPU,0.0288
TVAE,"(32, 16)",CPU,0.0297
TVAE,"(32, 16)",CPU,0.0307
TVAE,"(32, 16)",CPU,0.0303
TVAE,"(32, 16)",CPU,0.0305
TVAE,"(32, 16)",CPU,0.0298
TVAE,"(32, 16)",CPU,0.0298
TVAE,"(32, 16)",CPU,0.0294
TVAE,"(32, 16)",CPU,0.0306
TVAE,"(32, 16)",CPU,0.0297
TVAE,"(32, 16)",CPU,0.0288
TVAE,"(32, 16)",CPU,0.0302
TVAE,"(32, 16)",CPU,0.0403
TVAE,"(32, 16)",CPU,0.0495
TVAE,"(32, 16)",CPU,0.0288
TVAE,"(32, 16)",CPU,0.0295
TVAE,"(32, 16)",CPU,0.0296
TVAE,"(32, 16)",CPU,0.0299
TVAE,"(32, 16)",CPU,0.0289
TVAE,"(32, 16)",CPU,0.0303
TVAE,"(32, 16)",CPU,0.0301
TVAE,"(32, 16)",CPU,0.0295
TVAE,"(32, 16)",CPU,0.0282
TVAE,"(32, 16)",CPU,0.0286
TVAE,"(32, 16)",CPU,0.029
TVAE,"(32, 16)",CPU,0.0288
TVAE,"(32, 16)",CPU,0.031
TVAE,"(32, 16)",CPU,0.0285
TVAE,"(32, 16)",CPU,0.028
TVAE,"(32, 16)",CPU,0.0282
TVAE,"(32, 16)",CPU,0.028
TVAE,"(32, 16)",CPU,0.0281
TVAE,"(32, 16)",CPU,0.028
TVAE,"(32, 16)",CPU,0.028
TVAE,"(32, 16)",CPU,0.0285
TVAE,"(32, 16)",CPU,0.0291
TVAE,"(32, 16)",CPU,0.0288
TVAE,"(32, 16)",CPU,0.0308
TVAE,"(32, 16)",CPU,0.0298
